aggregate_rating,city,index,price_range,name,location_url,url,average_cost_for_two,phone,timings,cuisines,address,rating_text,establishment,locality_verbose,votes,more_info,zipcode,locality,highlights,highlights_4/5_star,highlights_5_star_property,highlights_air_conditioned,highlights_all_day_breakfast,highlights_available_for_functions,highlights_axis_bank_-_dining_delights,highlights_board_games,highlights_breakfast,highlights_brunch,highlights_buffet,highlights_bulk_orders_accepted,highlights_cash,highlights_couple_entry_only,highlights_credit_card,highlights_dj,highlights_debit_card,highlights_delivery,highlights_desserts_and_bakes,highlights_digital_payments_accepted,highlights_dinner,highlights_disabled_friendly,highlights_family_friendly,highlights_free_parking,highlights_free_wifi,highlights_gaming_area,highlights_gluten_free_options,highlights_group_meal,highlights_halal,highlights_happy_hours,highlights_high_tea,highlights_home_delivery,highlights_indoor_seating,highlights_keto_options,highlights_kid_friendly,highlights_live_entertainment,highlights_live_music,highlights_live_sports_screening,highlights_low-intensity_music,highlights_lunch_menu,highlights_lunch,highlights_luxury_dining,highlights_mall_parking,highlights_no_alcohol_available,highlights_no_seating_available,highlights_outdoor_seating,highlights_party_music,highlights_pet_friendly,highlights_poolside,highlights_pre-ordering_required,highlights_private_dining_area_available,highlights_pure_veg,highlights_restroom_available,highlights_romantic_dining,highlights_rooftop,highlights_self_service,highlights_serves_alcohol,highlights_serves_cocktails,highlights_serves_jain_food,highlights_serves_non_veg,highlights_smoking_area,highlights_sneakpeek,highlights_sodexo,highlights_standing_tables,highlights_street_parking,highlights_subscription_available,highlights_sugar_free_options,highlights_table_reservation_not_required,highlights_table_booking_for_groups,highlights_table_booking_not_available,highlights_table_booking_recommended,highlights_table_reservation_required,highlights_takeaway_available,highlights_ticket_restaurant,highlights_unlimited_pizza,highlights_valet_parking_available,highlights_variable_menu,highlights_vegan_options,highlights_vegetarian_only,highlights_wheelchair_accessible,highlights_wifi,highlights_wine,highlights_work_friendly,highlights_
4.5,Ahmedabad,1,3.0,Millhouse,https://www.google.com/maps/search/?api=1&query=Millhouse%2C%203rd%20Floor%2C%20Alpha%20One%20Mall%2C%20Vastrapur%2C%20Ahmedabad,https://www.zomato.com/ahmedabad/millhouse-1-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,1200,,11 AM to 11 PM,"Continental, Italian","3rd Floor, Alpha One Mall, Vastrapur, Ahmedabad",Excellent,['Casual Dining'],"Ahmedabad One Mall, Vastrapur, Ahmedabad",1530.0,,,"Ahmedabad One Mall, Vastrapur","['No Alcohol Available', 'Debit Card', 'Credit Card', 'Dinner', 'Mall Parking', 'Cash', 'Lunch', 'Takeaway Available', 'Group Meal', 'Desserts and Bakes', 'All Day Breakfast', 'Indoor Seating', 'Serves Jain Food', 'Vegan Options', 'Air Conditioned', 'Wheelchair Accessible', 'Lunch Menu', 'Kid Friendly']",0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
4.6,Ahmedabad,2,3.0,The Red Bistro,https://www.google.com/maps/search/?api=1&query=The%20Red%20Bistro%2C%20Armeida%2C%20Sindhu%20Bhavan%20Road%2C%20Off%20SG%20Road%2C%20Bodakdev%2C%20Ahmedabad,https://www.zomato.com/ahmedabad/the-red-bistro-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,1400,,"6:30 PM to 10:45 PM (Mon), 12 Noon to 10:45 PM (Tue-Sun)","Mexican, Italian, North Indian","Armeida, Sindhu Bhavan Road, Off SG Road, Bodakdev, Ahmedabad",Excellent,['Casual Dining'],"Bodakdev, Ahmedabad",695.0,,,Bodakdev,"['Lunch', 'Delivery', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Free Parking', 'Outdoor Seating', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Pure Veg', 'Live Sports Screening', 'Indoor Seating', 'Air Conditioned']",0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.7,Ahmedabad,3,2.0,Urban Khichdi,https://www.google.com/maps/search/?api=1&query=Urban%20Khichdi%2C%20A%20-103%2C%20Shivalik%20Plaza%2C%20Opposite%20AMA%2C%20IIM%20Road%2C%20Panjrapole%2C%20Vastrapur%2C%20Ahmedabad,https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,600,,"Mon-Sun (12 Noon to 4 PM, 7 PM to 11 PM)","North Indian, Continental","A -103, Shivalik Plaza, Opposite AMA, IIM Road, Panjrapole, Vastrapur, Ahmedabad",Excellent,['Casual Dining'],"Vastrapur, Ahmedabad",619.0,,380015,Vastrapur,"['Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Table Reservation Not Required', 'Pure Veg', 'Free Parking', 'Digital Payments Accepted']",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.7,Ahmedabad,4,4.0,Soulmate - Make Moments Memorable,https://www.google.com/maps/search/?api=1&query=Soulmate%20-%20Make%20Moments%20Memorable%2C%20Shop%20102%2C%20Addor%20Aspire%2C%20University%20Road%2C%20Navrangpura%2C%20Ahmedabad,https://www.zomato.com/ahmedabad/soulmate-make-moments-memorable-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,1500,,"11 AM to 3 PM, 7 PM to 12 Midnight","Italian, Continental","Shop 102, Addor Aspire, University Road, Navrangpura, Ahmedabad",Excellent,['Casual Dining'],"Navrangpura, Ahmedabad",477.0,,380015,Navrangpura,"['Lunch', 'Cash', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Indoor Seating', 'Free Wifi', 'Pure Veg', 'Couple Entry Only', 'Air Conditioned']",0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.8,Ahmedabad,5,2.0,Huber & Holly,https://www.google.com/maps/search/?api=1&query=Huber%20%26%20Holly%2C%207%20B%2C%20Pakwan%20Cross%20Road%2C%20Boadakdev%2C%20Ahmedabad,https://www.zomato.com/ahmedabad/huber-holly-1-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,500,,10am – 3am (Mon-Sun),"Desserts, Italian","7 B, Pakwan Cross Road, Boadakdev, Ahmedabad",Excellent,['Dessert Parlour'],"Bodakdev, Ahmedabad",1545.0,,,Bodakdev,"['Cash', 'Takeaway Available', 'Credit Card', 'Delivery', 'Debit Card', 'Valet Parking Available', 'Indoor Seating', 'Air Conditioned', 'Desserts and Bakes', 'Outdoor Seating', 'Digital Payments Accepted', 'Table Reservation Not Required', 'Pure Veg']",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4.3,Ahmedabad,6,2.0,Anjoy Latenight Meals,https://www.google.com/maps/search/?api=1&query=Anjoy%20Latenight%20Meals%2C%20B%20-3%2C%20Himalaya%20Complex%2C%20Nehru%20Park%20Fountain%2C%20Near%20SBI%20Vastrapur%20Lake%20Vastrapur%2C%20Ahmedabad,https://www.zomato.com/ahmedabad/anjoy-latenight-meals-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,500,,"12 Noon to 4 PM, 7:30 PM to 4:30 AM","North Indian, Fast Food","B -3, Himalaya Complex, Nehru Park Fountain, Near SBI Vastrapur Lake Vastrapur, Ahmedabad",Very Good,[],"Vastrapur, Ahmedabad",1284.0,,,Vastrapur,"['No Alcohol Available', 'Delivery', 'No Seating Available', 'Cash', 'Takeaway Available', 'Digital Payments Accepted']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.5,Ahmedabad,7,3.0,The Esplendido Cafe,https://www.google.com/maps/search/?api=1&query=The%20Esplendido%20Cafe%2C%20Ground%20Floor%2C%20Law%20Garden%20Cross%20Road%2C%20Opposite%20Samartheshwar%20Mahadev%2C%20Near%20V-Mart%2C%20Navrangpura%2C%20Ahmedabad,https://www.zomato.com/ahmedabad/the-esplendido-cafe-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,800,,11:30am – 11:30pm (Mon-Sun),"Cafe, American, Italian, Chinese","Ground Floor, Law Garden Cross Road, Opposite Samartheshwar Mahadev, Near V-Mart, Navrangpura, Ahmedabad",Excellent,['Café'],"Navrangpura, Ahmedabad",1549.0,,,Navrangpura,"['Cash', 'Delivery', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Dinner', 'Pure Veg', 'Board Games', 'Valet Parking Available', 'Live Music', 'Table booking recommended', 'Air Conditioned', 'Wifi', 'Serves Jain Food', 'Free Parking', 'Outdoor Seating', 'Indoor Seating']",0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
4.5,Ahmedabad,8,2.0,La Pino'z Pizza,https://www.google.com/maps/search/?api=1&query=La%20Pino%27z%20Pizza%2C%20Shop%2010%2C%20%20Circle%20B%2C%20Nyay%20Marg%2C%20Bodakdev%2C%20Ahmedabad,https://www.zomato.com/ahmedabad/la-pinoz-pizza-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,500,,11 AM to 11 PM,"Pizza, Italian","Shop 10,  Circle B, Nyay Marg, Bodakdev, Ahmedabad",Excellent,['Quick Bites'],"Bodakdev, Ahmedabad",2476.0,,,Bodakdev,"['Cash', 'Debit Card', 'Takeaway Available', 'Lunch', 'Dinner', 'Credit Card', 'Delivery', 'No Alcohol Available', 'Pure Veg', 'Air Conditioned', 'Free Parking', 'Indoor Seating']",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.4,Ahmedabad,9,2.0,RP's Pizzeria,https://www.google.com/maps/search/?api=1&query=RP%27s%20Pizzeria%2C%20Ground%20Floor%2C%20Yash%20Aqua%2C%20Near%20Vijay%20Cross%20Road%2C%20Navrangpura%2C%20Ahmedabad,https://www.zomato.com/ahmedabad/rps-pizzeria-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,550,,11 AM to 11 PM,"Pizza, Italian","Ground Floor, Yash Aqua, Near Vijay Cross Road, Navrangpura, Ahmedabad",Very Good,['Casual Dining'],"Navrangpura, Ahmedabad",1653.0,,,Navrangpura,"['Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted', 'Kid Friendly', 'Pure Veg', 'Table booking for Groups', 'Air Conditioned', 'Serves Jain Food', 'Buffet', 'Group Meal']",0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.2,Ahmedabad,10,3.0,I Love Sandwich House,https://www.google.com/maps/search/?api=1&query=I%20Love%20Sandwich%20House%2C%20Ground%20Floor%2C%20Shaival%20Complex%2C%20Opposite%20Rajpath%20Club%2C%20S%20G%20Highway%2C%20Bodakdev%2C%20Ahmedabad,https://www.zomato.com/ahmedabad/i-love-sandwich-house-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,900,,8am – 1am (Mon-Sun),"Cafe, Sandwich","Ground Floor, Shaival Complex, Opposite Rajpath Club, S G Highway, Bodakdev, Ahmedabad",Very Good,['Café'],"Bodakdev, Ahmedabad",1266.0,,380015,Bodakdev,"['Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Live Sports Screening', 'Free Wifi', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted']",0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
