Author,Review URL,Description,Rating,Restaurant Name,Restaurant URL
Payal,https://www.zoma.to/bbqnKEl,My all time favourite restaurant for sure. I love their cheese fondue and Mexican hot pot and these two dishes are my go to forever. Highly recommend to everyone,5,"Reviews of The Red Bistro, Bodakdev, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/the-red-bistro-bodakdev
Ritu Mehta,https://www.zoma.to/gLlmOab,I forgot the count that how many times I have visited this place and not a single time I was disappointed by anything. Their food to service to ambience everything was top notch. I love their Dahi Ke Kabab and Dal Makhani Fondue.,5,"Reviews of The Red Bistro, Bodakdev, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/the-red-bistro-bodakdev
Teena Jobaliya,https://www.zoma.to/xEGyggZ,Too good,5,"Reviews of Urban Khichdi, Vastrapur, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur
Rukshana Majra,https://www.zoma.to/qnwKMnY,sorry but the achar khichdi was not that good .achar u have used please don't use it again,3,"Reviews of Urban Khichdi, Vastrapur, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur
Kush Shah,https://www.zoma.to/RKlvzEb,super taste<br/>excellent,5,"Reviews of Urban Khichdi, Vastrapur, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur
Teena Jobaliya,https://www.zoma.to/RKlPPEY,Very tasty and worth eating even if you are sick,5,"Reviews of Urban Khichdi, Vastrapur, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur
Chahat Chauhan,https://www.zoma.to/GNZMPBk,very good test,3,"Reviews of Urban Khichdi, Vastrapur, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur
Varun Bhutani,https://www.zoma.to/wbYLzMa,Everything was good but the quality of curd was below standard. Its texture and taste were of low quality curd,4,"Reviews of Urban Khichdi, Vastrapur, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur
Krutika,https://www.zoma.to/MNOvAer,Woww,5,"Reviews of Urban Khichdi, Vastrapur, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur
Sunit,https://www.zoma.to/EayAxGL,khichdi was the best option. <br/>Palak was not good.,5,"Reviews of Urban Khichdi, Vastrapur, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur
Manish,https://www.zoma.to/NbyybRG,Goot taste,5,"Reviews of Urban Khichdi, Vastrapur, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur
Kunal Pohani,https://www.zoma.to/rEMQQKM,"Taste and quality were best, the quantity can be improved",4,"Reviews of Urban Khichdi, Vastrapur, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur
Nilesh Chaudhary,https://www.zoma.to/dPRlqgG,"They follow instructions carefully and overall food quality, taste & the quality totally perfect.     Thank you",5,"Reviews of Urban Khichdi, Vastrapur, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur
Nadir Riyani,https://www.zoma.to/dPRloAX,south indian food is pathetic and that does not offer with zomato gold,3,"Reviews of Urban Khichdi, Vastrapur, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur
Yash Shah,https://www.zoma.to/AAZvvYZ,it's not like before,3,"Reviews of Urban Khichdi, Vastrapur, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur
Shri Thote,https://www.zoma.to/nkzOQMO,khana aur accha ho skta tha.. bahot accha ho skta tha.. definitely Zomato can do this..,3,"Reviews of Urban Khichdi, Vastrapur, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur
Hemangi Sanghvi,https://www.zoma.to/aPKREzM,"Soulmate has a intimate ambience perfect for those special evenings. Its menu, a symphony of innovative dishes, excels in both taste and presentation. But the staff behaviour is very rude.",3,"Reviews of Soulmate - Make Moments Memorable, Gulbai Tekra, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/soulmate-make-moments-memorable-navrangpura
Uma,https://www.zoma.to/vzGkPbe,The food & service was truly amazing over here. Staff were also polite and friendly. Overall it was an awesome experience,5,"Reviews of Soulmate - Make Moments Memorable, Gulbai Tekra, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/soulmate-make-moments-memorable-navrangpura
CA Asha Khanani,https://www.zoma.to/MZoerDl,"Food is okayish. Staff needs a lot of training as they lack understanding of what customer wants. Also, cost is high compared to the experience this restaurant offers. Would I want to visit this place again? No.",3,"Reviews of Soulmate - Make Moments Memorable, Gulbai Tekra, Ahmedabad | Zomato",https://www.zomato.com/ahmedabad/soulmate-make-moments-memorable-navrangpura
