Restaurant Name,Restaurant URL,Reviews
"Reviews of 1944 -The HOCCO Kitchen, Bodakdev, Ahmedabad | Zomato",Zomato,"[{'author': 'Himanshi Patwa', 'description': 'Good customer service, good food and reads instruction', 'rating': 5}, {'author': 'Kirtikumar', 'description': 'very good', 'rating': 5}, {'author': 'Smita Bhatt', 'description': 'It should have more butter and less smooth', 'rating': 3}, {'author': 'Nirav Chovatiya', 'description': 'Very  tasty  n  delicious meal , <br/>both  Dal - Paneer curry  were good and with lower Spices ..<br/>Will love to order again ..', 'rating': 5}]"
"Reviews of 1944 -The HOCCO Kitchen, Navrangpura, Ahmedabad | Zomato",Zomato,"[{'author': 'Rupangi Patel', 'description': 'too much garlic in dal today', 'rating': 3}, {'author': 'Kamlesh Patel', 'description': 'Fine', 'rating': 5}, {'author': 'Parin Shah', 'description': 'Water chestnuts were too spicy', 'rating': 4}, {'author': 'Ashutosh Maheshwari', 'description': 'Authentic test...', 'rating': 5}, {'author': 'Neha Dhanwani', 'description': 'The dal makhni was good but the quality was not sufficient even for 2 people', 'rating': 3}, {'author': 'Karan Zavery', 'description': 'clean food, hot when it arrived, enough for 1 person.', 'rating': 3}, {'author': 'Tejal Patel', 'description': 'dal fly is ok very spicy', 'rating': 3}, {'author': 'Mann Sheth.', 'description': 'Very very good foodand packaging.', 'rating': 5}, {'author': 'Bhaavan Dave', 'description': 'Could not open the plastic container. Had to cut it. Please take care about it.', 'rating': 5}, {'author': 'Gunjan Goyal', 'description': 'Poor preparation, presentation and packing', 'rating': 3}, {'author': 'Harsh Mehta', 'description': 'Amazing always', 'rating': 5}, {'author': 'Pramukh Yog', 'description': 'One of the best in Ahmedabad', 'rating': 5}, {'author': 'Kamlesh Patel', 'description': 'good', 'rating': 5}]"
"Reviews of 1944 -The HOCCO Kitchen, Prahlad Nagar, Ahmedabad | Zomato",Zomato,"[{'author': 'Shrey Thakkar', 'description': 'sandwich is not hot to eat but taste is okay', 'rating': 3}, {'author': 'Priyank Mahajan', 'description': 'Yummy low calorie Morocco 🥗 Salad 😋', 'rating': 5}, {'author': 'Priya Patel', 'description': ""The bhatura was like rubber, I wasn't able to chew it properly."", 'rating': 3}, {'author': 'Priti Dandekar', 'description': 'Food is very tasty', 'rating': 5}, {'author': 'Jhanvi', 'description': 'the biryani from the combo had spicy green chillies.', 'rating': 3}, {'author': 'Shaarav Rao', 'description': 'the food was good... but it was a little too  spicy. Maybe it could be  made a little less spicy next time.', 'rating': 4}, {'author': 'Prashant Gogiya', 'description': 'Amazing as always', 'rating': 5}, {'author': 'Priyanka Praveen Maheshwari', 'description': 'Klucha quality is not good at much at restaurant.', 'rating': 3}, {'author': 'Jayendra Parekh', 'description': 'good service', 'rating': 5}, {'author': 'Ketan Rastogi', 'description': 'The quantity is a very less', 'rating': 3}, {'author': 'Varun Doshi', 'description': 'SUPER RESTAURANT, SUPER SERVICE. ALL MY FOOD CAME EXACTLY AS PER MY REQUESTS MENTIONED HERE.', 'rating': 5}, {'author': 'Pratik Panchal', 'description': 'Excellent', 'rating': 5}, {'author': 'Shaarav Rao', 'description': 'the food was good, but try and make little less spicy', 'rating': 4}, {'author': 'KALPESH POPAT', 'description': 'I specially mentioned not to add coriander due to allergic reaction. But still  coriander was there in dal', 'rating': 3}]"
"Reviews of 650 - The Global Kitchen, Ambavadi, Ahmedabad | Zomato",Zomato,"[{'author': 'Pravesh Bajpai', 'description': 'Nirpendra bhai and Kantilal bhaii were very helpful.', 'rating': 5}, {'author': 'Shikha Shah', 'description': 'We specifically told them to keep spiciness medium, but the kebab are very spicy. Hardly eatable', 'rating': 3}, {'author': 'Vipul Joshi', 'description': 'Please do it less spicy', 'rating': 4}, {'author': 'Bhumibosmia141', 'description': 'Excellent taste<br/>Fast service', 'rating': 5}, {'author': 'Nkhanna077', 'description': 'Though food was nice the staff seemed a bit sad. warmth was missing', 'rating': 4}, {'author': 'Minal Paul', 'description': 'food need improvement', 'rating': 3}, {'author': 'Purvi V', 'description': 'Since this restaurant was near to our place, we frequently visit it. However usually it was really crowded and service was rushed. Today we were properly served. The cheese jalapeño soup was watery but manchow was delicious and spicy. The shanghai basket was really well made and presented. We had Parcha Paneer which was really delicious and the quantity was also sufficient for 4. Definitely worth the extra price.', 'rating': 5}, {'author': 'Kathan Patel', 'description': 'Great food Quality <br/>Nice packaging', 'rating': 5}, {'author': 'Dr.Memon Shaheen', 'description': 'Awesome', 'rating': 5}, {'author': 'Manan Bhavsar', 'description': 'Food is good but over priced.', 'rating': 5}, {'author': 'Rishik Agarwal', 'description': 'breads are not good. else everything was just more than perfect. need to improve on bread', 'rating': 4}, {'author': 'Paresh Mehta', 'description': 'as always it was good', 'rating': 4}, {'author': 'AARAV ADANI', 'description': 'This is the best fine dining restaurant for family, friends <br/>food are soo good and price are reasonable <br/>quality are so good quantity are soo many...✨💛', 'rating': 5}, {'author': 'Ritesh Shah', 'description': 'good on food taste front.. rest okay okay!', 'rating': 4}, {'author': 'Kavan Thakkar', 'description': 'The food & ambience is tasty but the management isnt good , they will ask to pay the bill 1st even when you are eating', 'rating': 3}, {'author': 'SAMIR S SANGHVI', 'description': 'EXCELLENT JAIN FOOD. TASTE DELICIOUS. <br/>OBERALL SUPERB IN ALL RESPE', 'rating': 5}]"
"Reviews of 7Violettes, Prahlad Nagar, Ahmedabad | Zomato",Zomato,"[{'author': 'Rinshita Gupta', 'description': 'This was very soft and fresh, the dark chocolate tasted amazing. And it’s worth your second and third and more try’s.', 'rating': 4}, {'author': 'Vidya Reddy', 'description': 'This is by far the best bakery for cakes in Ahmedabad. Love it !', 'rating': 5}, {'author': 'Pranav Pandya', 'description': 'Place is little small. No seating area. But I suggest if you like dessert or sweets you should try there. I think this is one of the best place to have macaroons in Ahmedabad.', 'rating': 4}, {'author': 'Mahesh Prajapati', 'description': 'Great place, good food available here,enjoyed my dessert, its quality is good,staff is ok, great variety of options are available here,must visit many times.<br/><br/>I love this place .', 'rating': 5}, {'author': 'Sarthak Deora', 'description': ""Very much one of the most underrated gems of this city!<br/>Love almost all the flavors of desserts and cakes they make but am a chocolate lover and that's my choice of drug, and these are the pharmacists that I go to !<br/>Wish to see them open more outlets and expand!<br/>Much love, cheers!"", 'rating': 5}, {'author': 'Viraj Chandarana', 'description': 'Very candidly @7violettes has always occupied a very special place in my heart. The reason behind that is that it was the only place in town that prepared authentic French bakery items for a long time until new places with same concept sprung up recently. If I put it in a funny about why I have a soft corner is that, after we moved to India it was the owner of 7V who arranged my reunion with Baguettes, Madeleine, Croisssant and Pain-au-Chocolat and this happened after almost 14 years.<br/><br/>My Mom’s birthday was coming up and it was quite a time since I ordered something from 7V, I thought let me order something, I checked their menu and my eyes stopped at a cake called Dark Chocolate Orange Roasted Almonds. The best part about 7 V is the way they have explained every cake they make. This one goes by “Candied orange layered in sinful dark chocolate ganache and some roasted almonds to add to the flavor and texture”. Till the time I ended reading I had decided and said to myself “Aapde aaj cake order karvi che, anyhow”.<br/><br/>So I placed an order for a 500 GMS cake, if you see the above picture you will think this looks like a very simple cake but my friend you are wrong just swipe to the next photo and you will understand everything. I will only say this cake was sinful, we just loved the combination of candied orange with almonds and dark chocolate, specially my mother who could not just stop praising the cake.<br/><br/>Thank you 7V for making her day…<br/><br/>Lastly I am a big fan of their Multi Grain bread, believe me they make the best one. You will agree to me once you try it.', 'rating': 4}, {'author': 'Masum Shah', 'description': ""Very easy to miss out on this great  place if you're not local or simply don't pay attention to your surroundings. They  serve one of the best cheese cake pastries, chocolate pastries and macaroons. I love their  university outlet and was crazy happy about the fact that they have outlet in prahladnagar quite close to my home but I was disappointed because  in this outlet they don't have sitting arrangements and do not serve beverages. But I'm glad that the quality of their goods is just the same. Definitely try their blueberry cheese cake  💙<br/>"", 'rating': 4}, {'author': 'Khyati Bhasin', 'description': 'A cute little place, maybe it won’t be wrong saying that it is a place where you enter and things seems beautiful, pretty ambience and prettier deserts! An amazing place to go if not been yet.', 'rating': 3}, {'author': 'Parishi Goyal', 'description': 'French Biscuit Chocolate Pastry is one of the best desserts of 7 Violettes. Blueberry cheesecake was good in taste but I would suggest that they should experiment with the blueberry cheesecake recipe. The chocolate macaron was chocolaty but the it should have been little softer than this.<br/><br/>Chocolate Macaron - 7/10<br/>French Biscuit Pastry - 9/10<br/>Blueberry Cheesecake - 8/10', 'rating': 3}, {'author': 'Anjum', 'description': ""Not that many places in town have macarons. This one of the handfuls and they're actually good. I've tried all the flavors and as long as they're fresh the flavor is there. Their cakes are decent also. The dark chocolate orange is 💯."", 'rating': 5}, {'author': 'Sneha Khaitan', 'description': 'Simply great pastries... I could not ask more from an accessible place like this!<br/><br/>I think you should get more options for deliveries as people are crazy about it', 'rating': 5}, {'author': 'Palak Shah', 'description': 'Small place only for take away option.<br/>Pastry was yummie. But disadvantage is only few options were available.<br/>We have tried dark chocolate French biscuit. And it was awesome.<br/>165 ₹ for 1 pastry. Little costly but worth eating it.<br/><br/>Taste: 4.5 /5<br/>Rate: 3/5<br/>Ambience: 3/5', 'rating': 3}, {'author': 'Krishni Miglani', 'description': 'Not a restaurant type to sit in but definitely a place to pick up a dessert from.<br/><br/>Tried the caramel macaron as well as pistachio macaron. Both were kickass!<br/><br/>Cheesecakes : Oreo , blueberry and raspberry vanilla !<br/><br/>My go to dessert place in Ahmedabad , quite a find.<br/><br/>Little heavier on the pocket compared to other places , but taste beats them all.', 'rating': 4}, {'author': 'Ahmedabad_foodcritic', 'description': ""It is pricey... No doubt about it.... Size of some pastries are small.... Options are very limited....<br/><br/>Just forget aboves usual complains of other reviewer....<br/><br/>It's quality is a level above..., there are very few bakers in the town to make such great cakes...<br/><br/><br/>Macron are just superb....<br/><br/>French biscuit pastry are too good....<br/><br/>Their lavash are one of the best in town...,<br/><br/>Brownies are awesome....<br/><br/>"", 'rating': 5}, {'author': 'Shivangi Dasgupta', 'description': 'Too small to find! Nice sevice! ..<br/>A person wid a sweet tooth must come here to eat the French macarons!!💜💖<br/>Must try the coffee French macarons!!', 'rating': 4}, {'author': 'Sachin Jain', 'description': 'A place which is actually very difficult to spot because of its sheer small size !!!<br/>But a place which serves macaroons like non other and also some amazing cakes and pastries. :D<br/>Must try out for people who have a sweet tooth :D', 'rating': 3}, {'author': 'Mugish Multani', 'description': 'This is my first  review on 7 violettes. it is not worth for the desert they serve as per the quintey the price he little expensive but the quality is good they do not have any unique in there menu they are as same as other desert cafe in lesser rates.', 'rating': 3}, {'author': 'Reema', 'description': ""Decent menu with good options, at least for a place like Ahmedabad, where I feel constantly deprived of quality desserts. And thankfully, I could coax them into personalising a cheesecake flavor for me, which is more than can be said of most bakeries in this city. So, I'd say, overall a good option to satiate cravings, at least partially. But unfortunately, priced on the higher side."", 'rating': 3}, {'author': 'Rahil', 'description': ""So I read an article about the Baker on my Facebook feed and after reading I had to try this bakery.So I went to there outlet near Vijay cross roads.So I tried two pastries 1.french biscuit 2.dark chocolate.<br/>Both of them were just outstanding. The taste the quality of the chocolate was Totally outstanding. The best thing about the pastures was there texture. Really an amazing bakery . My favorite is French biscuit which you should definitely try it out as you won't find such types of pastry in Ahmedabad!"", 'rating': 5}, {'author': 'Kratika Jain', 'description': 'Being an ardent lover of the macaroons served at the Navrangpura outlet, I decided to give this outlet of 7 Violettes a shot. The moment I saw their signboard, i jumped with ecstasy only to find myself at their counter 2 mins later. I ordered my favourite Nutella Macaroons and tried others too.  You guys never disappoint seriously! And even though the prices of the delicacies are high, anyone who appreciates quality food  would be willing to pay for the exquisite quality products served by you guys.', 'rating': 4}, {'author': 'Kaushal Mehta', 'description': 'After seeing this small little place each and every time whenever I visit on prahlad nagar road.. Finally I decided to visit this place and had some mouth watering deserts.. Red velvet and french biscuit chocolate.. Found both cakes little different in taste.. Little costly but must try once..', 'rating': 4}, {'author': 'Lincy Andrew Gomez', 'description': ""I haven't been to the place but read they opened an outlet at Venus Atlantis and was really happy. Cause that's the same building as my hubby's office!! I called him the day they opened up and asked him get me some macaroons. He got me some really melt in mouth macaroons and I must say we were not disappointed. He said the place can be easily missed. The prices are a bit on the higher end but that's what you pay to get the best macaroons when this was the only place in the city to provide this with not many competitors!!"", 'rating': 4}, {'author': 'Norah', 'description': ""Love 7Violettes !!! Simply because it gives me an option to choose quality. Ever since it's opening I eat cakes , desserts and breads only from 7Violettes . I know I'm not eating trans-fats and I'm paying for the purest Belgian chocolate, and only the best ingredients , that constitute their products. Their whole wheat bread, which constantly makes it's way to my breakfast table , is 80% whole wheat !!! Why would I knowingly consume anything sub standard , when I have 7Violettes to cater to my oft craving sweet tooth !!"", 'rating': 5}, {'author': 'N I D H I  K A L R A', 'description': ""if there's one baker whose doing desserts differently its them. and that they have opened their outlet close to where i work makes satisfying my almost always craving sweet tooth a tad bit easier. have tried their classic new York style cheesecake and i give it's crust a full 5. today we picked up double chocolate french biscuit, the velvet and pistachio macaron and they all have their distinct delectable taste. <br/><br/>on the list are charlotte and rose-chocolate pictachio. have plans to tick them off soon."", 'rating': 4}, {'author': 'Dr. Shripal Shah', 'description': ""And they finally open a new outlet near my place. Prahladnagar. Its an extremely small place though, not easily visible wen ur passing by.!!<br/>Went over to check out the place yesterday. They hav various varieties of choco cakes, cheese cakes and breads stocked up. Macarons steal the show. I bough 4 different flavours. Loved the chocolate and pistachio macaron.<br/>The man at the counter is decent enough and helps u well with their specialities, if ur a first time visitor here and dont know wat to buy. (Coz everything luks mouthwatering). The price is a bit on the higher side compared to other cake outlets.<br/>But then they dont serve the quality that '7Violettes' does !! Thumbs up 👍"", 'rating': 4}]"
"Reviews of 9834 The Fruit Truck, Bodakdev, Ahmedabad | Zomato",Zomato,"[{'author': 'Naju', 'description': ""The strawberry was very very sour also they cut the strawberries so it wasn't enough"", 'rating': 3}, {'author': 'Jagat Vyas', 'description': 'absolutely good quality', 'rating': 5}, {'author': 'Vrajesh Parikh', 'description': 'milk shake not even filled up full bottle.<br/>both are lesser filled.', 'rating': 3}, {'author': 'Nilesh Italiya', 'description': 'Inside the juice were particles of sand', 'rating': 4}, {'author': 'Aditya Jani', 'description': 'Mango shake with White chocolate chips was fab. Highly recommend.', 'rating': 5}, {'author': 'Aditya Jani', 'description': 'This mango fruit bowl made my day. It was amazing. I wish I had clicked a photo but I was busy eating.', 'rating': 5}, {'author': 'Amesha', 'description': 'Amazing and everyone should try it', 'rating': 5}]"
"Reviews of 9834 The Fruit Truck, Satellite, Ahmedabad | Zomato",Zomato,"[{'author': 'Soban Memon', 'description': 'best and fastest delivery', 'rating': 5}, {'author': 'Shubham Bhatt', 'description': 'Amazing Quality! Original and Pure!! Keep it up!!', 'rating': 5}, {'author': 'Nayak Aakash', 'description': 'nuttela and chocolate quantity is low in strawberry', 'rating': 4}, {'author': 'Nikunj Ganatra', 'description': 'very less fruit on this price', 'rating': 3}, {'author': 'Laxmi Vichhi', 'description': 'really good test and quality wise good Plus quantity is also good as per price..<br/>overall I loved it', 'rating': 5}, {'author': 'Kunal Shah', 'description': 'good taste quantity is very less', 'rating': 4}, {'author': 'Uvesh Khan', 'description': 'awesome fruit', 'rating': 4}, {'author': 'Renuka Najkani', 'description': 'Taste was good', 'rating': 5}, {'author': 'Saurin', 'description': 'who ever made my death by chocolate & fruits, it was the best. honest review from my side.', 'rating': 5}, {'author': 'Saurin', 'description': 'I ordered death by chocolate & it is very tasty & full of chocolate 🍫 🥰🥰🥰', 'rating': 5}, {'author': 'Chintan Joshi', 'description': 'Strawberries were awesome alongside the brownie and chocolate chips with vanilla icecream. Disappointed that there were no nutella in it, even though mentioned on the dish.', 'rating': 4}, {'author': 'Musahidkhan', 'description': ""juse thickness is low, but it's  good. 👍"", 'rating': 3}, {'author': 'Govind', 'description': 'Parfect Delevry Partnar', 'rating': 5}, {'author': 'Taronish Pastakia', 'description': 'Good but overpriced', 'rating': 4}, {'author': 'Devanshi Parmar', 'description': 'delicious and fresh fruits served', 'rating': 5}, {'author': 'Gadhavi', 'description': 'it was too thin.', 'rating': 4}, {'author': 'Mayur Maheta', 'description': 'packaging can be improved for items like ice cream, it becomes liquid when i received it, else it was a good dish , i liked it.', 'rating': 4}, {'author': 'Dhairya Shah', 'description': 'Super', 'rating': 5}, {'author': 'Brijesh Sharma', 'description': 'superb dish', 'rating': 5}, {'author': 'Imran Jindani', 'description': 'All without sugar', 'rating': 3}, {'author': 'Shivangi', 'description': 'great test awasome 💫', 'rating': 5}, {'author': 'Seerat', 'description': 'best', 'rating': 5}]"
"Reviews of 9834 The Fruit Truck, Thaltej, Ahmedabad | Zomato",Zomato,"[{'author': 'Himani Gandhi', 'description': 'the mojito was more sweet and felt less of soda', 'rating': 3}, {'author': 'Makvana Jeel', 'description': ""would've loved if the nutella (chocolatey part) was more cuz it was a bit sour."", 'rating': 4}, {'author': 'Rushi Mehta', 'description': 'good men', 'rating': 5}, {'author': 'Amarnath Solkar', 'description': 'Strawberry chocolate combination is not good in general. The restaurant is not to be blamed.', 'rating': 3}, {'author': 'SHASHANK KHEDE', 'description': 'overprices', 'rating': 5}, {'author': 'Nikita Shah', 'description': 'not provided spoon', 'rating': 4}, {'author': 'Kaival H. Chalishazar', 'description': 'over priced for a lot of guavas', 'rating': 4}, {'author': 'Himanshu Singh Chauhan', 'description': 'Nice', 'rating': 5}, {'author': 'Gopkumar Nair', 'description': 'good', 'rating': 5}, {'author': 'Hitarthi Shah', 'description': 'ur food is awesome. but is trike se aap ppr bag mai milkshake doge to bag Tut jayegi. aur yeh 2 nd time mere saath eisa huva hai', 'rating': 5}, {'author': 'Geetanjali Vajpayee', 'description': 'best jamun juice', 'rating': 5}, {'author': 'Kavita Bhati', 'description': 'good', 'rating': 5}, {'author': 'Jainam Mehta', 'description': 'All fruits are awesome but you given very small amount of masalas', 'rating': 5}, {'author': 'Kalpana Singh', 'description': 'Best juice and organic .', 'rating': 5}, {'author': 'Kalpana Singh', 'description': 'Best quality', 'rating': 5}, {'author': 'Dev', 'description': 'Must try!!', 'rating': 5}]"
"Reviews of @Mango, Bodakdev, Ahmedabad | Zomato",Zomato,"[{'author': 'Prakash Kanara', 'description': 'Always best to', 'rating': 5}, {'author': 'Vipul Panchal', 'description': '1 good quality 2. Nice packing 3. great quantity', 'rating': 5}, {'author': 'Ritesh Lulla', 'description': 'lovely food', 'rating': 5}, {'author': 'Ritesh Lulla', 'description': 'Rocking Food Nice Chef', 'rating': 5}, {'author': 'Ritesh Lulla', 'description': 'Brilliant Food', 'rating': 5}, {'author': 'Ritesh Lulla', 'description': 'superb excellent 👌', 'rating': 5}, {'author': 'Ritesh Lulla', 'description': 'thanks nice food<br/>and<br/>thanks for excepting my request <br/>thanks team #Mango', 'rating': 5}, {'author': 'Kevat J Vanani', 'description': 'Pizza quality and size has been changed it is not like before', 'rating': 3}, {'author': 'Prachi Trivedi', 'description': 'Poor service and less quantity', 'rating': 3}, {'author': 'Trilochan Kukreja', 'description': 'Person came without zomato bag and got the soup hanging on bike . Soup hot freezing cold . Very poor service from zomato total disappointed .', 'rating': 5}, {'author': 'Ritesh Lulla', 'description': 'awesome 👌', 'rating': 5}, {'author': 'Sachin Goplani', 'description': 'Kesar singh is nice man to provide all service', 'rating': 5}, {'author': 'Dave Manan', 'description': 'quantity bahut kam he', 'rating': 3}, {'author': 'Adpimport', 'description': 'Hi, this is my second time ordering biryani with you guys and it was great and the taste and presentation, but no one tried to read my request or comment. I said, less oily and extra onion on the side, but someone has ignored my comment. Otherwise it would be five star thank you.', 'rating': 4}, {'author': 'Anil Kakade', 'description': 'Excellent food. Try Mango Rasmalai with Cheeze Cake.', 'rating': 5}, {'author': 'Karan Shah', 'description': 'Just a little suggestion. Please ask your managers to manage every table equally because had a bitter experience while placing my dinner order. They shouldn’t sound rude. Thank you.', 'rating': 5}, {'author': 'Dr.Joghee Arjunan', 'description': 'good taste', 'rating': 5}, {'author': 'Chintan Bhatia', 'description': 'Ambience is excellent', 'rating': 5}]"
"Reviews of A1 Parotha, Gurukul, Ahmedabad | Zomato",Zomato,"[{'author': 'Parshwa Prajapati', 'description': 'Food was good but the lassan chutney spilled which got very messy', 'rating': 4}, {'author': 'Tharuneesh', 'description': 'The food is amazing, wanted to add a suggestion: add a box or thick base for the parata as the aluminium foil gets torn easily', 'rating': 5}, {'author': 'Mohitsinh Zala', 'description': 'Rate is too high on Zomato... almost 70/80% high than restaurant price.', 'rating': 5}, {'author': 'Kamlesh Mahajan', 'description': 'good dood', 'rating': 5}, {'author': 'Sangitha', 'description': 'Amazing taste!', 'rating': 5}, {'author': 'Pooja Gurmukhani', 'description': 'Spicy kam banao', 'rating': 5}, {'author': 'Bhoomi Dave', 'description': 'Paratha was amazing, but kindly share more red  spices sauce....:) food is super amazing', 'rating': 5}, {'author': 'Kashmira', 'description': 'delicious like home made', 'rating': 5}, {'author': 'Harmit Patel', 'description': 'Food was as good as their name', 'rating': 5}, {'author': 'Shah Kushangi', 'description': 'your food is very good', 'rating': 5}, {'author': 'Helena', 'description': 'a bit oily 😐', 'rating': 5}, {'author': 'Arnab Kumar Pal', 'description': 'was perfect. almost felt like home made food', 'rating': 5}, {'author': 'Harmit Patel', 'description': 'Food is just like their name but the order got delay by the restaurant all the time', 'rating': 3}, {'author': 'Monaj Dey', 'description': 'Just ok', 'rating': 3}, {'author': 'Yasin Shaikh', 'description': '😋', 'rating': 5}, {'author': 'Harry Makwana', 'description': ""It's good person"", 'rating': 5}, {'author': 'Pradip Zala', 'description': 'very good service', 'rating': 5}, {'author': 'VISHAL GUPTA', 'description': 'cheese Kam  nhi thi', 'rating': 4}, {'author': 'Masu Sohel', 'description': 'there was more onion on paneer paratha then paneer', 'rating': 3}, {'author': 'Monaj Dey', 'description': 'I said salad without onion, but the restaurant sent only garbage!!!!!<br/>I think salad means Cucumber 🥒 / tomato 🍅/ carrot 🥕/. Not only garbage!!!!!<br/>Unexpected.....<br/>Rest of the food is ok', 'rating': 4}, {'author': 'Ajay Parmar', 'description': 'Love it', 'rating': 5}, {'author': 'Hetal', 'description': 'poor packaging', 'rating': 3}]"
