,name,establishment,url,address,city,locality,zipcode,locality_verbose,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,rating_text,votes
0,Ph Se Food,['Casual Dining'],https://www.zomato.com/ahmedabad/ph-se-food-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"205-206, Silve Radiance, Sindhu Bhawan Road, Pakwan Char Rasta, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,380054,"Bodakdev, Ahmedabad","North Indian, Chinese, Fast Food",12noon – 11pm (Mon-Sun),900,3,"['Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted', 'Table Reservation Not Required', 'Pure Veg']",4.5,Excellent,1434
1,Millhouse,['Casual Dining'],https://www.zomato.com/ahmedabad/millhouse-1-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"3rd Floor, Alpha One Mall, Vastrapur, Ahmedabad",Ahmedabad,"Ahmedabad One Mall, Vastrapur",,"Ahmedabad One Mall, Vastrapur, Ahmedabad","Continental, Italian",11 AM to 11 PM,1200,3,"['No Alcohol Available', 'Debit Card', 'Credit Card', 'Dinner', 'Mall Parking', 'Cash', 'Lunch', 'Takeaway Available', 'Group Meal', 'Desserts and Bakes', 'All Day Breakfast', 'Indoor Seating', 'Serves Jain Food', 'Vegan Options', 'Air Conditioned', 'Wheelchair Accessible', 'Lunch Menu', 'Kid Friendly']",4.5,Excellent,1530
2,The Red Bistro,['Casual Dining'],https://www.zomato.com/ahmedabad/the-red-bistro-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Armeida, Sindhu Bhavan Road, Off SG Road, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,,"Bodakdev, Ahmedabad","Mexican, Italian, North Indian","6:30 PM to 10:45 PM (Mon), 12 Noon to 10:45 PM (Tue-Sun)",1400,3,"['Lunch', 'Delivery', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Free Parking', 'Outdoor Seating', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Pure Veg', 'Live Sports Screening', 'Indoor Seating', 'Air Conditioned']",4.6,Excellent,695
3,Kadak Bhagat,['Casual Dining'],https://www.zomato.com/ahmedabad/kadak-bhagat-prahlad-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1, First Floor, Dev Aurum Complex, Deer Cirle, Anandnagar Crossroad, Prahlad Nagar, Ahmedabad",Ahmedabad,Prahlad Nagar,,"Prahlad Nagar, Ahmedabad","North Indian, Chinese, Fast Food","11:30 AM to 3:30 PM, 7 PM to 11 PM",1000,3,"['Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Lunch', 'Takeaway Available', 'Pure Veg', 'Sneakpeek', 'Indoor Seating', 'Serves Jain Food', 'Air Conditioned']",4.4,Very Good,977
4,Urban Khichdi,['Casual Dining'],https://www.zomato.com/ahmedabad/urban-khichdi-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"A -103, Shivalik Plaza, Opposite AMA, IIM Road, Panjrapole, Vastrapur, Ahmedabad",Ahmedabad,Vastrapur,380015,"Vastrapur, Ahmedabad","North Indian, Continental","Mon-Sun (12 Noon to 4 PM, 7 PM to 11 PM)",600,2,"['Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Table Reservation Not Required', 'Pure Veg', 'Free Parking', 'Digital Payments Accepted']",4.7,Excellent,619
5,Soulmate - Make Moments Memorable,['Casual Dining'],https://www.zomato.com/ahmedabad/soulmate-make-moments-memorable-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 102, Addor Aspire, University Road, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,380015,"Navrangpura, Ahmedabad","Italian, Continental","11 AM to 3 PM, 7 PM to 12 Midnight",1500,4,"['Lunch', 'Cash', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Indoor Seating', 'Free Wifi', 'Pure Veg', 'Couple Entry Only', 'Air Conditioned']",4.7,Excellent,477
6,Huber & Holly,['Dessert Parlour'],https://www.zomato.com/ahmedabad/huber-holly-1-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"7 B, Pakwan Cross Road, Boadakdev, Ahmedabad",Ahmedabad,Bodakdev,,"Bodakdev, Ahmedabad","Desserts, Italian",10am – 3am (Mon-Sun),500,2,"['Cash', 'Takeaway Available', 'Credit Card', 'Delivery', 'Debit Card', 'Valet Parking Available', 'Indoor Seating', 'Air Conditioned', 'Desserts and Bakes', 'Outdoor Seating', 'Digital Payments Accepted', 'Table Reservation Not Required', 'Pure Veg']",4.8,Excellent,1545
7,Eleven 11 Restro Cafe,['Café'],https://www.zomato.com/ahmedabad/eleven-11-restro-cafe-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"106/107, Silver Radiance, Sindhu Bhavan Road, Near Pakvan Cross Roads, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,,"Bodakdev, Ahmedabad","Cafe, Italian, North Indian",11 AM to 11 PM,1000,3,"['No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Debit Card', 'Air Conditioned', 'Brunch', 'Indoor Seating', 'Digital Payments Accepted', 'Table Reservation Not Required', 'Serves Jain Food', 'All Day Breakfast']",4.3,Very Good,1273
8,Anjoy Latenight Meals,[],https://www.zomato.com/ahmedabad/anjoy-latenight-meals-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"B -3, Himalaya Complex, Nehru Park Fountain, Near SBI Vastrapur Lake Vastrapur, Ahmedabad",Ahmedabad,Vastrapur,,"Vastrapur, Ahmedabad","North Indian, Fast Food","12 Noon to 4 PM, 7:30 PM to 4:30 AM",500,2,"['No Alcohol Available', 'Delivery', 'No Seating Available', 'Cash', 'Takeaway Available', 'Digital Payments Accepted']",4.3,Very Good,1284
9,The Esplendido Cafe,['Café'],https://www.zomato.com/ahmedabad/the-esplendido-cafe-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground Floor, Law Garden Cross Road, Opposite Samartheshwar Mahadev, Near V-Mart, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,,"Navrangpura, Ahmedabad","Cafe, American, Italian, Chinese",11:30am – 11:30pm (Mon-Sun),800,3,"['Cash', 'Delivery', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Dinner', 'Pure Veg', 'Board Games', 'Valet Parking Available', 'Live Music', 'Table booking recommended', 'Air Conditioned', 'Wifi', 'Serves Jain Food', 'Free Parking', 'Outdoor Seating', 'Indoor Seating']",4.5,Excellent,1549
