Restaurant,Review Count,Food Sentiments
"Reviews of 1944 -The HOCCO Kitchen, Navrangpura, Ahmedabad | Zomato",13,{}
"Reviews of 1944 -The HOCCO Kitchen, Prahlad Nagar, Ahmedabad | Zomato",14,"{""food"": {""positive"": 3, ""negative"": 0}, ""quality"": {""positive"": 1, ""negative"": 0}, ""quantity"": {""positive"": 0, ""negative"": 1}}"
"Reviews of 650 - The Global Kitchen, Ambavadi, Ahmedabad | Zomato",16,"{""food"": {""positive"": 1, ""negative"": 0}, ""breads"": {""positive"": 1, ""negative"": 0}, ""quality"": {""positive"": 1, ""negative"": 0}, ""ambience"": {""positive"": 1, ""negative"": 0}, ""taste"": {""positive"": 1, ""negative"": 0}}"
"Reviews of 7Violettes, Prahlad Nagar, Ahmedabad | Zomato",25,"{""quality"": {""positive"": 2, ""negative"": 0}, ""macaroons"": {""positive"": 1, ""negative"": 0}, ""deserts"": {""positive"": 1, ""negative"": 0}, ""cheesecake"": {""positive"": 1, ""negative"": 0}, ""pastry"": {""positive"": 1, ""negative"": 0}, ""brownies"": {""positive"": 1, ""negative"": 0}, ""menu"": {""positive"": 1, ""negative"": 0}, ""chocolate"": {""positive"": 1, ""negative"": 0}}"
"Reviews of 9834 The Fruit Truck, Bodakdev, Ahmedabad | Zomato",7,{}
"Reviews of 9834 The Fruit Truck, Satellite, Ahmedabad | Zomato",22,"{""taste"": {""positive"": 1, ""negative"": 0}, ""chocolate"": {""positive"": 1, ""negative"": 0}, ""quantity"": {""positive"": 0, ""negative"": 1}}"
"Reviews of 9834 The Fruit Truck, Thaltej, Ahmedabad | Zomato",16,"{""food"": {""positive"": 1, ""negative"": 0}}"
"Reviews of @Mango, Bodakdev, Ahmedabad | Zomato",18,"{""packing"": {""positive"": 1, ""negative"": 0}, ""ambience"": {""positive"": 1, ""negative"": 0}, ""service"": {""positive"": 0, ""negative"": 1}}"
"Reviews of A1 Parotha, Gurukul, Ahmedabad | Zomato",22,"{""food"": {""positive"": 4, ""negative"": 0}, ""paratha"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Aagrah, Shree Balaji Agora Mall, Chandkheda, Ahmedabad | Zomato",24,"{""food"": {""positive"": 2, ""negative"": 0}, ""experience"": {""positive"": 2, ""negative"": 0}, ""packaging"": {""positive"": 1, ""negative"": 0}, ""quality"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Aarya's Grill, Bodakdev, Ahmedabad | Zomato",12,"{""food"": {""positive"": 3, ""negative"": 0}, ""quality"": {""positive"": 2, ""negative"": 0}, ""bread"": {""positive"": 1, ""negative"": 0}, ""sauce"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Ab Chai Pe Charcha, Satellite, Ahmedabad | Zomato",12,"{""packing"": {""positive"": 1, ""negative"": 0}, ""shake"": {""positive"": 0, ""negative"": 1}, ""tea"": {""positive"": 0, ""negative"": 1}, ""taste"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Agarwal Kachori Centre, Shahibagh, Ahmedabad | Zomato",18,"{""food"": {""positive"": 2, ""negative"": 0}, ""quality"": {""positive"": 1, ""negative"": 0}, ""chutney"": {""positive"": 1, ""negative"": 0}, ""kachori"": {""positive"": 4, ""negative"": 0}, ""samosa"": {""positive"": 2, ""negative"": 0}, ""taste"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Agarwal Mithai Bhandar, Ashram Road, Ahmedabad | Zomato",2,"{""samosa"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Agarwal Mithai Bhandar, Bodakdev, Ahmedabad | Zomato",16,"{""samosa"": {""positive"": 1, ""negative"": 0}, ""taste"": {""positive"": 1, ""negative"": 0}, ""sweets"": {""positive"": 1, ""negative"": 0}, ""food"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Agashiye - The House Of MG, Lal Darwaja, Ahmedabad | Zomato",21,"{""hygiene"": {""positive"": 1, ""negative"": 0}, ""food"": {""positive"": 3, ""negative"": 0}, ""service"": {""positive"": 1, ""negative"": 0}, ""thepla"": {""positive"": 1, ""negative"": 0}, ""tasty"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Alpine Restaurant & Banquet, Ellis Bridge, Ahmedabad | Zomato",14,"{""packaging"": {""positive"": 1, ""negative"": 1}, ""quality"": {""positive"": 1, ""negative"": 0}, ""food"": {""positive"": 2, ""negative"": 0}, ""roti"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Ambica Dalvada And Khiru, Satellite, Ahmedabad | Zomato",20,"{""food"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Ambica Dalvada Centre, Navrangpura, Ahmedabad | Zomato",6,{}
"Reviews of Ambica Dughdhalay, Paldi, Ahmedabad | Zomato",16,"{""taste"": {""positive"": 1, ""negative"": 0}, ""salad"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Angat 22 The Restaurant & Banquet, Bopal, Ahmedabad | Zomato",22,"{""ambience"": {""positive"": 1, ""negative"": 0}, ""food"": {""positive"": 3, ""negative"": 1}, ""service"": {""positive"": 1, ""negative"": 0}, ""quality"": {""positive"": 1, ""negative"": 0}, ""spicy"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Angithi A Pure Veg Restaurant By Mirch Masala, Bodakdev, Ahmedabad | Zomato",39,"{""service"": {""positive"": 3, ""negative"": 0}, ""food"": {""positive"": 7, ""negative"": 0}, ""ambience"": {""positive"": 3, ""negative"": 0}, ""quantity"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Anjoy Latenight Meals, Gurukul, Ahmedabad | Zomato",10,"{""food"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Anwar E Hilal, Jamalpur, Ahmedabad | Zomato",17,"{""combo"": {""positive"": 1, ""negative"": 0}, ""food"": {""positive"": 1, ""negative"": 0}, ""tasty"": {""positive"": 1, ""negative"": 0}, ""taste"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Apna Adda, Navrangpura, Ahmedabad | Zomato",1,{}
"Reviews of Apna Punjab Parattha, Vastrapur, Ahmedabad | Zomato",4,"{""paratha"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Appetize The Bistro, Ghatlodia, Ahmedabad | Zomato",25,"{""food"": {""positive"": 3, ""negative"": 0}, ""pizza"": {""positive"": 2, ""negative"": 0}, ""quality"": {""positive"": 2, ""negative"": 0}, ""cake"": {""positive"": 1, ""negative"": 0}, ""taste"": {""positive"": 2, ""negative"": 0}, ""wraps"": {""positive"": 1, ""negative"": 0}, ""pasta"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Artisan - Regenta  Antarim, Navrangpura, Ahmedabad | Zomato",28,"{""experience"": {""positive"": 1, ""negative"": 0}, ""food"": {""positive"": 2, ""negative"": 0}, ""service"": {""positive"": 3, ""negative"": 0}, ""presentation"": {""positive"": 2, ""negative"": 0}, ""quality"": {""positive"": 1, ""negative"": 0}, ""ambience"": {""positive"": 1, ""negative"": 0}, ""pasta"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Aryan Fast Food, Chandkheda, Ahmedabad | Zomato",14,"{""taste"": {""positive"": 1, ""negative"": 0}, ""manchurian"": {""positive"": 1, ""negative"": 1}}"
"Reviews of Asharfi Kulfi, Mani Nagar, Ahmedabad | Zomato",5,{}
"Reviews of Asharfi Kulfi, Memnagar, Ahmedabad | Zomato",1,{}
"Reviews of Astodia Juice Corner, Astodia, Ahmedabad | Zomato",17,"{""food"": {""positive"": 1, ""negative"": 0}, ""sandwiches"": {""positive"": 1, ""negative"": 0}, ""falooda"": {""positive"": 1, ""negative"": 0}, ""service"": {""positive"": 1, ""negative"": 0}, ""juices"": {""positive"": 1, ""negative"": 0}, ""juice"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Atithi, Bodakdev, Ahmedabad | Zomato",16,"{""food"": {""positive"": 1, ""negative"": 0}, ""tasty"": {""positive"": 1, ""negative"": 0}, ""quality"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Aureate - El Dorado, Navrangpura, Ahmedabad | Zomato",30,"{""food"": {""positive"": 7, ""negative"": 0}, ""soups"": {""positive"": 1, ""negative"": 0}, ""salad"": {""positive"": 1, ""negative"": 0}, ""soup"": {""positive"": 5, ""negative"": 0}, ""ambiance"": {""positive"": 1, ""negative"": 0}, ""quality"": {""positive"": 2, ""negative"": 0}, ""prices"": {""positive"": 1, ""negative"": 0}, ""staff"": {""positive"": 1, ""negative"": 0}, ""mocktail"": {""positive"": 2, ""negative"": 0}, ""service"": {""positive"": 1, ""negative"": 0}, ""noodles"": {""positive"": 1, ""negative"": 0}, ""experience"": {""positive"": 1, ""negative"": 0}, ""corn"": {""positive"": 1, ""negative"": 0}, ""chutney"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Autograph - Armoise Hotel, C G Road, Ahmedabad | Zomato",20,"{""taste"": {""positive"": 1, ""negative"": 0}, ""combo"": {""positive"": 1, ""negative"": 0}, ""food"": {""positive"": 1, ""negative"": 0}, ""quality"": {""positive"": 1, ""negative"": 0}, ""khichdi"": {""positive"": 1, ""negative"": 0}, ""service"": {""positive"": 1, ""negative"": 0}, ""quantity"": {""positive"": 0, ""negative"": 1}, ""portion"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Azad Sweets & Restaurant, Navrangpura, Ahmedabad | Zomato",10,"{""taste"": {""positive"": 1, ""negative"": 0}, ""quality"": {""positive"": 1, ""negative"": 0}, ""quantity"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Badshah Dairy Products, Paldi, Ahmedabad | Zomato",5,"{""lassi"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Balaji Poha House, Satellite, Ahmedabad | Zomato",8,"{""poha"": {""positive"": 1, ""negative"": 0}, ""taste"": {""positive"": 2, ""negative"": 0}}"
"Reviews of Balan Dosa, Manek Chowk, Ahmedabad | Zomato",42,"{""dosa"": {""positive"": 7, ""negative"": 1}, ""chutney"": {""positive"": 1, ""negative"": 0}, ""experience"": {""positive"": 2, ""negative"": 0}, ""sauce"": {""positive"": 1, ""negative"": 0}, ""taste"": {""positive"": 1, ""negative"": 0}, ""food"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Bansilal Pendawala, Astodia, Ahmedabad | Zomato",8,"{""taste"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Barbeque Nation, Prahlad Nagar, Ahmedabad | Zomato",23,"{""food"": {""positive"": 3, ""negative"": 0}, ""biryani"": {""positive"": 1, ""negative"": 0}, ""quantity"": {""positive"": 1, ""negative"": 0}, ""hospitality"": {""positive"": 1, ""negative"": 0}, ""packing"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Barbeque Nation, Vastrapur, Ahmedabad | Zomato",16,"{""food"": {""positive"": 2, ""negative"": 0}, ""biryani"": {""positive"": 1, ""negative"": 0}, ""quality"": {""positive"": 1, ""negative"": 0}, ""service"": {""positive"": 2, ""negative"": 0}, ""music"": {""positive"": 1, ""negative"": 0}, ""thali"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Barbeque World, Vastrapur, Ahmedabad | Zomato",16,"{""starters"": {""positive"": 1, ""negative"": 0}, ""service"": {""positive"": 1, ""negative"": 0}, ""ambience"": {""positive"": 1, ""negative"": 0}, ""barbeque"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Bayleaf - Courtyard By Marriott, Satellite, Ahmedabad | Zomato",9,"{""food"": {""positive"": 4, ""negative"": 0}, ""experience"": {""positive"": 1, ""negative"": 0}, ""staff"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Bella Aroma - Crowne Plaza, Satellite, Ahmedabad | Zomato",17,"{""taste"": {""positive"": 1, ""negative"": 0}, ""food"": {""positive"": 3, ""negative"": 0}, ""quality"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Bera Samosa, Bhadra, Ahmedabad | Zomato",24,"{""samosa"": {""positive"": 1, ""negative"": 0}, ""tasty"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Bihari Samosa Centre, Chandkheda, Ahmedabad | Zomato",20,"{""kachori"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Bikanervala, Prahlad Nagar, Ahmedabad | Zomato",16,"{""jalebi"": {""positive"": 1, ""negative"": 0}, ""thali"": {""positive"": 2, ""negative"": 0}, ""chaat"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Bikanervala, Satellite, Ahmedabad | Zomato",20,"{""chutney"": {""positive"": 1, ""negative"": 0}, ""taste"": {""positive"": 3, ""negative"": 0}, ""kulcha"": {""positive"": 1, ""negative"": 0}, ""sandwich"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Birmies, Vastrapur, Ahmedabad | Zomato",21,"{""food"": {""positive"": 5, ""negative"": 0}}"
"Reviews of Biskut, Bodakdev, Ahmedabad | Zomato",20,"{""cake"": {""positive"": 1, ""negative"": 0}, ""bread"": {""positive"": 2, ""negative"": 0}, ""taste"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Bismillah, Lal Darwaja, Ahmedabad | Zomato",10,"{""view"": {""positive"": 1, ""negative"": 0}, ""taste"": {""positive"": 2, ""negative"": 0}, ""quality"": {""positive"": 1, ""negative"": 0}, ""shakes"": {""positive"": 1, ""negative"": 2}}"
"Reviews of Bluez Terrace Cafe, Supermall, C G Road, Ahmedabad | Zomato",17,"{""quantity"": {""positive"": 1, ""negative"": 0}, ""quality"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Bombay Kulfi and Ice Cream, Mani Nagar, Ahmedabad | Zomato",5,"{""taste"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Bread Box, Bodakdev, Ahmedabad | Zomato",11,"{""sandwiches"": {""positive"": 1, ""negative"": 0}, ""panini"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Brewgarten, Navrangpura, Ahmedabad | Zomato",14,"{""coffee"": {""positive"": 0, ""negative"": 2}, ""packaging"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Brick Kitchen - Five Petals, Ghatlodia, Ahmedabad | Zomato",43,"{""starters"": {""positive"": 1, ""negative"": 0}, ""service"": {""positive"": 6, ""negative"": 1}, ""food"": {""positive"": 7, ""negative"": 0}, ""ambience"": {""positive"": 3, ""negative"": 0}, ""papad"": {""positive"": 1, ""negative"": 0}, ""quantity"": {""positive"": 1, ""negative"": 0}, ""experience"": {""positive"": 1, ""negative"": 0}, ""staff"": {""positive"": 1, ""negative"": 0}, ""ambiance"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Brothers Brand, Vastrapur, Ahmedabad | Zomato",13,"{""chicken"": {""positive"": 1, ""negative"": 0}, ""naan"": {""positive"": 1, ""negative"": 0}, ""food"": {""positive"": 1, ""negative"": 0}, ""soup"": {""positive"": 1, ""negative"": 0}, ""curry"": {""positive"": 1, ""negative"": 0}, ""taste"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Brown & Happy, Navrangpura, Ahmedabad | Zomato",34,"{""taste"": {""positive"": 3, ""negative"": 0}, ""cake"": {""positive"": 6, ""negative"": 0}, ""brownie"": {""positive"": 1, ""negative"": 0}, ""cakes"": {""positive"": 1, ""negative"": 0}, ""staff"": {""positive"": 1, ""negative"": 0}, ""pasta"": {""positive"": 1, ""negative"": 0}, ""croissant"": {""positive"": 1, ""negative"": 0}, ""ambiance"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Budhalal Dudhwala, Manek Chowk, Ahmedabad | Zomato",4,{}
"Reviews of Burger King, Gurukul, Ahmedabad | Zomato",3,"{""taste"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Burger King, Prahlad Nagar, Ahmedabad | Zomato",6,"{""food"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Burgerlicious, Navrangpura, Ahmedabad | Zomato",35,"{""food"": {""positive"": 5, ""negative"": 0}, ""tasty"": {""positive"": 1, ""negative"": 0}, ""burgers"": {""positive"": 1, ""negative"": 0}, ""ambience"": {""positive"": 1, ""negative"": 0}, ""spicy"": {""positive"": 2, ""negative"": 0}, ""burger"": {""positive"": 2, ""negative"": 0}, ""experience"": {""positive"": 1, ""negative"": 0}, ""calm"": {""positive"": 1, ""negative"": 0}, ""taste"": {""positive"": 2, ""negative"": 0}, ""staff"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Burgometry, Navrangpura, Ahmedabad | Zomato",4,"{""spicy"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Buttercupp, Advait Mall, Vastrapur, Ahmedabad | Zomato",26,"{""cupcakes"": {""positive"": 1, ""negative"": 1}, ""flavour"": {""positive"": 1, ""negative"": 0}, ""cakes"": {""positive"": 1, ""negative"": 0}, ""cookies"": {""positive"": 1, ""negative"": 0}, ""brownies"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Cafe 1st Story - Fairfield By Marriott, Ashram Road, Ahmedabad | Zomato",16,"{""experience"": {""positive"": 1, ""negative"": 0}, ""service"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Cafe De Italiano, Bodakdev, Ahmedabad | Zomato",19,"{""taste"": {""positive"": 2, ""negative"": 0}, ""staff"": {""positive"": 2, ""negative"": 0}, ""atmosphere"": {""positive"": 2, ""negative"": 0}, ""interior"": {""positive"": 1, ""negative"": 0}, ""food"": {""positive"": 1, ""negative"": 0}, ""music"": {""positive"": 1, ""negative"": 0}, ""ambience"": {""positive"": 1, ""negative"": 0}, ""coffee"": {""positive"": 1, ""negative"": 0}, ""pizza"": {""positive"": 1, ""negative"": 0}, ""bread"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Cafe Deli-Tel - Hotel Novotel, Satellite, Ahmedabad | Zomato",1,"{""taste"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Cafe Patio - Hotel Binori, Thaltej, Ahmedabad | Zomato",25,"{""pasta"": {""positive"": 1, ""negative"": 0}, ""food"": {""positive"": 5, ""negative"": 0}, ""service"": {""positive"": 2, ""negative"": 0}, ""ambience"": {""positive"": 2, ""negative"": 0}, ""pizza"": {""positive"": 1, ""negative"": 0}, ""quantity"": {""positive"": 1, ""negative"": 0}, ""platter"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Cafe Piano - The Grand Bhagwati, Bodakdev, Ahmedabad | Zomato",14,"{""food"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Cafe Treat - Pride Plaza Hotel, Bodakdev, Ahmedabad | Zomato",35,"{""portions"": {""positive"": 1, ""negative"": 0}, ""food"": {""positive"": 8, ""negative"": 0}, ""quality"": {""positive"": 1, ""negative"": 0}, ""naan"": {""positive"": 1, ""negative"": 0}, ""ambience"": {""positive"": 4, ""negative"": 0}, ""experience"": {""positive"": 2, ""negative"": 0}, ""staff"": {""positive"": 2, ""negative"": 0}, ""breakfast"": {""positive"": 1, ""negative"": 0}, ""cafe"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Café Venture Studio, Navrangpura, Ahmedabad | Zomato",24,"{""cafe"": {""positive"": 1, ""negative"": 0}, ""ambience"": {""positive"": 2, ""negative"": 0}, ""price"": {""positive"": 1, ""negative"": 0}, ""quantity"": {""positive"": 1, ""negative"": 0}, ""quality"": {""positive"": 1, ""negative"": 0}, ""food"": {""positive"": 2, ""negative"": 0}, ""coffee"": {""positive"": 1, ""negative"": 0}, ""pasta"": {""positive"": 1, ""negative"": 0}, ""sandwich"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Cake My Day, Satellite, Ahmedabad | Zomato",36,"{""taste"": {""positive"": 3, ""negative"": 0}, ""cake"": {""positive"": 7, ""negative"": 0}, ""experience"": {""positive"": 1, ""negative"": 0}, ""design"": {""positive"": 1, ""negative"": 0}, ""pastries"": {""positive"": 1, ""negative"": 0}, ""rolls"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Candle Light Date N Dinner, Bodakdev, Ahmedabad | Zomato",44,"{""icecream"": {""positive"": 1, ""negative"": 0}, ""ambience"": {""positive"": 3, ""negative"": 0}, ""food"": {""positive"": 9, ""negative"": 0}, ""service"": {""positive"": 2, ""negative"": 0}, ""staff"": {""positive"": 1, ""negative"": 0}, ""pasta"": {""positive"": 1, ""negative"": 0}, ""decorations"": {""positive"": 1, ""negative"": 0}, ""ambiance"": {""positive"": 6, ""negative"": 0}, ""quantity"": {""positive"": 1, ""negative"": 0}, ""quality"": {""positive"": 2, ""negative"": 0}, ""cake"": {""positive"": 1, ""negative"": 0}, ""taste"": {""positive"": 1, ""negative"": 1}, ""tasty"": {""positive"": 1, ""negative"": 0}, ""view"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Candle Light Date N Dinner, Navrangpura, Ahmedabad | Zomato",43,"{""food"": {""positive"": 11, ""negative"": 0}, ""service"": {""positive"": 3, ""negative"": 0}, ""hygiene"": {""positive"": 1, ""negative"": 0}, ""ambience"": {""positive"": 4, ""negative"": 0}, ""taste"": {""positive"": 4, ""negative"": 0}, ""experience"": {""positive"": 2, ""negative"": 0}, ""environment"": {""positive"": 1, ""negative"": 0}, ""quantity"": {""positive"": 1, ""negative"": 0}, ""quality"": {""positive"": 1, ""negative"": 0}, ""chinese"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Cane-D, Satellite, Ahmedabad | Zomato",5,{}
"Reviews of Cellad Eatery, Gulbai Tekra, Ahmedabad | Zomato",34,"{""food"": {""positive"": 5, ""negative"": 0}, ""salads"": {""positive"": 2, ""negative"": 0}, ""buffet"": {""positive"": 1, ""negative"": 0}, ""tasty"": {""positive"": 1, ""negative"": 0}, ""pizza"": {""positive"": 1, ""negative"": 0}, ""quality"": {""positive"": 1, ""negative"": 0}, ""coffee"": {""positive"": 1, ""negative"": 0}, ""experience"": {""positive"": 1, ""negative"": 0}, ""pastry"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Chai Shop - Hyatt Regency, Ashram Road, Ahmedabad | Zomato",39,"{""menu"": {""positive"": 1, ""negative"": 0}, ""coffee"": {""positive"": 3, ""negative"": 0}, ""ambience"": {""positive"": 3, ""negative"": 0}, ""food"": {""positive"": 2, ""negative"": 0}, ""pizza"": {""positive"": 2, ""negative"": 0}, ""beverages"": {""positive"": 2, ""negative"": 0}, ""atmosphere"": {""positive"": 1, ""negative"": 0}, ""quality"": {""positive"": 2, ""negative"": 0}, ""quantity"": {""positive"": 2, ""negative"": 0}, ""margherita"": {""positive"": 1, ""negative"": 0}, ""latte"": {""positive"": 1, ""negative"": 0}, ""crepe"": {""positive"": 2, ""negative"": 0}, ""ambiance"": {""positive"": 2, ""negative"": 0}, ""service"": {""positive"": 1, ""negative"": 0}, ""cafe"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Chai Wai, Satellite, Ahmedabad | Zomato",9,"{""dhokla"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Champaji Farsan House, Paldi, Ahmedabad | Zomato",10,{}
"Reviews of Charotari Khichdi, Gota, Ahmedabad | Zomato",33,"{""tasty"": {""positive"": 2, ""negative"": 0}, ""quantity"": {""positive"": 4, ""negative"": 0}, ""khichdi"": {""positive"": 2, ""negative"": 1}, ""authentic"": {""positive"": 2, ""negative"": 0}, ""taste"": {""positive"": 1, ""negative"": 0}, ""food"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Cheers, Bodakdev, Ahmedabad | Zomato",13,"{""packing"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Chetna Ganthia Rath, Memnagar, Ahmedabad | Zomato",15,{}
"Reviews of Chhaswala, Bodakdev, Ahmedabad | Zomato",6,"{""service"": {""positive"": 1, ""negative"": 0}, ""packaging"": {""positive"": 1, ""negative"": 0}, ""taste"": {""positive"": 1, ""negative"": 0}, ""lassi"": {""positive"": 1, ""negative"": 0}, ""drink"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Chhaswala, C G Road, Ahmedabad | Zomato",28,"{""quality"": {""positive"": 1, ""negative"": 0}, ""taste"": {""positive"": 1, ""negative"": 1}, ""shake"": {""positive"": 1, ""negative"": 0}, ""packaging"": {""positive"": 1, ""negative"": 0}, ""lassi"": {""positive"": 1, ""negative"": 1}}"
"Reviews of Chhaswala, Ghatlodia, Ahmedabad | Zomato",10,"{""lassi"": {""positive"": 2, ""negative"": 0}, ""packing"": {""positive"": 1, ""negative"": 0}, ""behavior"": {""positive"": 1, ""negative"": 0}, ""quantity"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Chhaswala, Gota, Ahmedabad | Zomato",17,{}
"Reviews of Chhaswala, Gurukul, Ahmedabad | Zomato",4,"{""quality"": {""positive"": 1, ""negative"": 0}, ""lassi"": {""positive"": 1, ""negative"": 0}, ""staff"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Chhaswala, Satellite, Ahmedabad | Zomato",3,"{""service"": {""positive"": 1, ""negative"": 0}}"
"Reviews of Chhaswala, Sola, Ahmedabad | Zomato",2,{}
"Reviews of China House - Hyatt Regency, Ashram Road, Ahmedabad | Zomato",27,"{""service"": {""positive"": 1, ""negative"": 0}, ""food"": {""positive"": 4, ""negative"": 0}, ""quality"": {""positive"": 1, ""negative"": 0}, ""taste"": {""positive"": 1, ""negative"": 0}}"
"Reviews of China Town Chinese, Gota, Ahmedabad | Zomato",17,"{""spicy"": {""positive"": 1, ""negative"": 0}, ""quantity"": {""positive"": 1, ""negative"": 0}, ""quality"": {""positive"": 2, ""negative"": 0}, ""taste"": {""positive"": 1, ""negative"": 0}, ""noodles"": {""positive"": 0, ""negative"": 1}}"
"Reviews of Choice Corner Restaurant, Kankaria, Ahmedabad | Zomato",20,"{""taste"": {""positive"": 2, ""negative"": 0}, ""food"": {""positive"": 2, ""negative"": 0}, ""manchurian"": {""positive"": 0, ""negative"": 1}, ""quantity"": {""positive"": 0, ""negative"": 1}}"
